host_name,area,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Nuttee,Ratchathewi,13.75983,100.54134,Entire home/apt,1905,3,65,2020-01-06,2,353,0
Emy,Bang Na,13.66818,100.61674,Private room,1316,1,0,2020-10-04,2,358,0
Familyroom,Bang Kapi,13.75232,100.62402,Private room,800,60,0,2021-07-03,1,365,0
Sirilak,Din Daeng,13.78823,100.57256,Private room,1286,7,2,2022-04-01,1,323,1
Kasem,Bang Kapi,13.76872,100.63338,Private room,1905,1,0,2019-12-02,3,365,0
Wimonpak,Bang Kho laen,13.69757,100.5288,Entire home/apt,1000,250,19,2017-08-03,41,365,0
Athitaya,Rat Burana,13.68556,100.49535,Private room,1558,3,1,2014-02-03,1,365,0
Jiraporn,Chatu Chak,13.82925,100.56737,Entire home/apt,1461,1,0,2015-03-02,1,365,0
Nol,Chatu Chak,13.81693,100.56433,Entire home/apt,1558,3,10,2016-03-29,1,365,0
Somsak,Khlong San,13.7204,100.50757,Private room,700,2,4,2019-12-27,10,87,0
Tor,Bang Rak,13.71934,100.5176,Private room,1150,2,27,2019-01-03,7,320,0
Jing,Phaya Thai,13.77486,100.54272,Entire home/apt,1893,15,129,2022-09-30,1,356,1
Tor,Sathon,13.71802,100.51539,Hotel room,1862,2,208,2019-12-02,7,361,0
Mimi,Din Daeng,13.77941,100.57383,Entire home/apt,910,2,3,2018-07-30,2,365,0
Natcha,Khlong Toei,13.71516,100.56806,Entire home/apt,1400,30,0,2018-11-08,1,365,0
Srisuk,Phaya Thai,13.79152,100.53982,Private room,4156,1,0,2019-02-18,1,365,0
Piyakorn,Khlong Toei,13.70719,100.59936,Entire home/apt,1577,30,78,2019-05-31,1,330,0
Sue,Chatu Chak,13.82298,100.56484,Entire home/apt,122594,2,9,2020-03-04,6,180,0
Henry,Khlong Toei,13.73378,100.56303,Entire home/apt,5680,28,148,2020-01-07,1,334,0
Timo,Vadhana,13.74668,100.56137,Entire home/apt,5034,21,287,2022-11-22,1,349,3
Pat,Sai Mai,13.9077,100.64473,Private room,1500,1,0,2021-08-02,1,365,0
Muay,Rat Burana,13.68568,100.49231,Private room,1385,30,0,2020-04-13,1,365,0
Chuchart,Vadhana,13.74444,100.57003,Private room,3775,30,3,2018-12-24,1,364,0
Shine,Khlong Toei,13.72097,100.57823,Entire home/apt,2078,60,83,2018-09-12,1,55,0
Dustin,Khlong Toei,13.70441,100.59968,Entire home/apt,1732,2,3,2013-10-09,1,364,0
Sudhichai,Ratchathewi,13.75351,100.53308,Entire home/apt,2000,27,76,2018-04-05,1,263,0
Anya,Ratchathewi,13.7547,100.53268,Entire home/apt,3082,1,0,2019-10-22,1,365,0
Kasem,Bang Kapi,13.76747,100.63287,Private room,1190,1,0,2021-05-09,3,365,0
Parinya,Lat Krabang,13.721868,100.771713,Private room,1329,1,28,2022-11-25,1,349,13
วสวัตติ์,Bangkok Yai,13.73292,100.46413,Private room,2078,1,76,2019-12-31,3,350,0
Gael,Bang Rak,13.7285,100.52313,Entire home/apt,1176,7,63,2022-11-25,2,95,2
Penjit,Wang Thong Lang,13.78938,100.6134,Private room,600,1,0,2022-12-01,1,365,0
Gerd,Vadhana,13.74293,100.55603,Entire home/apt,1659,3,212,2022-12-08,3,207,7
Nattavut,Phaya Thai,13.77931,100.54262,Entire home/apt,1400,15,90,2022-11-15,4,336,2
Apiradee,Sathon,13.72291,100.53759,Entire home/apt,5429,2,3,2018-12-18,3,174,0
Gael,Bang Rak,13.72733,100.52555,Entire home/apt,1843,7,71,2022-11-30,2,156,5
Frances,Huai Khwang,13.78118,100.58349,Private room,1316,1,0,2021-05-21,1,365,0
Danny,Vadhana,13.73224,100.57803,Entire home/apt,1870,4,5,2019-11-10,1,331,0
Weera,Bang Rak,13.72287,100.51678,Private room,2500,180,15,2015-12-08,1,88,0
Kanchuya,Vadhana,13.74464,100.55784,Entire home/apt,1732,90,0,2017-06-13,1,365,0
Jirasak,Vadhana,13.7137,100.59637,Entire home/apt,1300,30,7,2018-12-18,1,365,0
Evan,Sathon,13.72062,100.54707,Entire home/apt,1200,1,419,2022-12-07,37,355,1
Apiradee,Sathon,13.71803,100.54654,Private room,3500,3,0,2022-12-11,3,363,0
วสวัตติ์,Phasi Charoen,13.73122,100.46228,Entire home/apt,1795,1,95,2022-12-15,3,339,10
Rae And Charlie,Bang Sue,13.83148,100.52102,Entire home/apt,1000,3,21,2019-02-20,7,145,0
Yodying,Chatu Chak,13.82148,100.58326,Private room,350,30,0,2021-01-17,1,365,0
Evan From Sanctuary House,Sathon,13.72073,100.5469,Entire home/apt,1450,1,268,2022-12-15,8,350,7
Evan From Sanctuary House,Sathon,13.72063,100.54694,Entire home/apt,1200,1,310,2022-12-11,8,331,9
Narumon,Nong Chok,13.779,100.83671,Entire home/apt,8658,1,0,2022-12-05,1,363,0
Salvatore,Sathon,13.72096,100.52911,Entire home/apt,3757,2,118,2022-11-30,7,134,12
Pichanee,Khlong Toei,13.73782,100.55179,Entire home/apt,1490,5,11,2018-07-02,1,16,0
Phoebe,Bang Rak,13.72687,100.52725,Entire home/apt,2701,30,104,2020-02-20,1,0,0
Vajirune,Phra Khanong,13.70169,100.5977,Private room,2251,3,0,2021-07-18,1,365,0
Bee,Sathon,13.71192,100.51535,Entire home/apt,866,2,472,2022-12-15,7,320,29
Marvin,Sathon,13.71602,100.52663,Private room,2696,1,0,2018-11-28,3,356,0
Marvin,Sathon,13.71798,100.52841,Private room,1736,1,4,2014-11-12,3,356,0
Primrose,Thawi Watthana,13.79274,100.33377,Private room,1800,2,1,2022-10-25,3,242,1
Primrose,Thawi Watthana,13.79315,100.33356,Private room,1800,2,0,2021-06-29,3,256,0
Luckana,Lat Krabang,13.72141,100.72946,Entire home/apt,1558,1,43,2020-03-03,2,365,0
Mitch & Mam,Chatu Chak,13.80926,100.56892,Entire home/apt,900,358,56,2019-08-04,1,365,0
Veesa,Bang Na,13.67805,100.62451,Private room,400,180,0,2020-08-12,1,364,0
Pariya,Parthum Wan,13.74814,100.52016,Entire home/apt,2900,1125,295,2021-08-21,3,0,0
Nichapat,Khlong Toei,13.71513,100.5683,Private room,2226,1,0,2022-04-20,1,364,0
Nicky,Bang Kho laen,13.69947,100.52726,Entire home/apt,890,2,29,2022-12-18,6,59,4
Sander,Bang Na,13.67998,100.61074,Entire home/apt,1500,29,0,2022-11-03,1,365,0
Anshera,Khlong Toei,13.7281,100.57318,Entire home/apt,1732,30,67,2022-09-20,1,167,1
Piya,Pra Wet,13.70004,100.6787,Entire home/apt,3394,5,3,2022-11-28,8,180,2
Piya,Bang Na,13.67991,100.61055,Entire home/apt,922,14,170,2022-12-05,1,219,5
Somsak,Khlong San,13.72214,100.50752,Shared room,350,1,12,2020-02-08,10,87,0
Siriwipa,Ratchathewi,13.74902,100.55652,Entire home/apt,866,90,94,2022-08-31,1,142,1
Mimi,Sathon,13.71498,100.53312,Private room,1543,1,40,2022-12-09,4,149,10
Inn Saladaeng & The Sathon Vimanda,Bang Rak,13.72825,100.53774,Entire home/apt,1589,1,36,2022-09-01,2,176,1
Nokiko,Chatu Chak,13.81694,100.56451,Entire home/apt,1271,1,293,2022-12-06,1,129,19
Evan,Sathon,13.72062,100.54707,Entire home/apt,800,1,396,2020-04-30,37,361,0
Chanvit,Rat Burana,13.68426,100.49841,Private room,1558,1,0,2020-03-14,1,365,0
Pornpan,Khlong San,13.71905,100.50414,Entire home/apt,1747,30,80,2020-01-28,1,330,0
Hollis,Khlong Toei,13.74052,100.55237,Entire home/apt,797,1,189,2022-11-28,1,230,13
Vichit,Vadhana,13.71012,100.60281,Entire home/apt,6926,1,1,2019-01-13,1,364,0
